"Run_ID","US_ID","Condicao","Repeticao","Ordem","Data_hora","Arquivo_saida","Status","Erro"
"US19_CS_R1","US19","CS","1","1","2026-07-09T00:18:28","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US19_CS_R1\clarification-full.md","Valida",""
"US19_CO_R1","US19","CO","1","2","2026-07-09T00:18:58","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US19_CO_R1\clarification-full.md","Valida",""
"US22_CS_R1","US22","CS","1","3","2026-07-09T00:19:20","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US22_CS_R1\clarification-full.md","Valida",""
"US02_C0_R1","US02","C0","1","4","2026-07-09T00:19:49","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US02_C0_R1\clarification-full.md","Valida",""
"US02_CT_R1","US02","CT","1","5","2026-07-09T00:20:13","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US02_CT_R1\clarification-full.md","Valida",""
"US08_CS_R1","US08","CS","1","6","2026-07-09T00:20:41","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US08_CS_R1\clarification-full.md","Valida",""
"US08_CL_R1","US08","CL","1","7","2026-07-09T00:21:07","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US08_CL_R1\clarification-full.md","Valida",""
"US22_CD_R1","US22","CD","1","8","2026-07-09T00:21:33","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US22_CD_R1\clarification-full.md","Valida",""
"US22_CL_R1","US22","CL","1","9","2026-07-09T00:21:56","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US22_CL_R1\clarification-full.md","Valida",""
"US02_CO_R1","US02","CO","1","10","2026-07-09T00:22:20","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US02_CO_R1\clarification-full.md","Valida",""
"US22_CT_R1","US22","CT","1","11","2026-07-09T00:22:45","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US22_CT_R1\clarification-full.md","Valida",""
"US02_CD_R1","US02","CD","1","12","2026-07-09T00:23:13","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US02_CD_R1\clarification-full.md","Valida",""
"US02_CL_R1","US02","CL","1","13","2026-07-09T00:23:46","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US02_CL_R1\clarification-full.md","Valida",""
"US19_CT_R1","US19","CT","1","14","2026-07-09T00:24:08","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US19_CT_R1\clarification-full.md","Valida",""
"US08_CT_R1","US08","CT","1","15","2026-07-09T00:24:37","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US08_CT_R1\clarification-full.md","Valida",""
"US19_C0_R1","US19","C0","1","16","2026-07-09T00:25:00","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US19_C0_R1\clarification-full.md","Valida",""
"US08_CO_R1","US08","CO","1","17","2026-07-09T00:25:23","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US08_CO_R1\clarification-full.md","Valida",""
"US22_CO_R1","US22","CO","1","18","2026-07-09T00:25:47","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US22_CO_R1\clarification-full.md","Valida",""
"US19_CD_R1","US19","CD","1","19","2026-07-09T00:26:25","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US19_CD_R1\clarification-full.md","Valida",""
"US08_CD_R1","US08","CD","1","20","2026-07-09T00:26:49","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US08_CD_R1\clarification-full.md","Valida",""
"US02_CS_R1","US02","CS","1","21","2026-07-09T00:27:07","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US02_CS_R1\clarification-full.md","Valida",""
"US08_C0_R1","US08","C0","1","22","2026-07-09T00:27:36","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US08_C0_R1\clarification-full.md","Valida",""
"US22_C0_R1","US22","C0","1","23","2026-07-09T00:28:00","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US22_C0_R1\clarification-full.md","Valida",""
"US19_CL_R1","US19","CL","1","24","2026-07-09T00:28:38","C:\Users\lucas\OneDrive\Documentos\experimento-emerging-results\runs\US19_CL_R1\clarification-full.md","Valida",""
